Sigla,Resolução ANEEL,Início Vigência,Fim Vigência,Base Tarifária,Subgrupo,Modalidade,Classe,Subclasse,Detalhe,Acessante,Posto,Unidade,TUSD,TE
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Azul,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Ponta,R$/MWh,"143,78","567,52"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A4,Azul,Não se aplica,Não se aplica,SCEE,Não se aplica,Ponta,R$/MWh,"150,73","46,26"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Azul,Não se aplica,Não se aplica,SCEE,Não se aplica,Ponta,R$/MWh,"143,78","95,19"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A4,Convencional,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,R$/kW,"53,2",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Convencional,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,R$/kW,"56,3",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A4,Convencional,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,R$/MWh,"150,73","337,73"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Convencional,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,R$/MWh,"143,78","386,28"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Convencional,Não se aplica,Não se aplica,SCEE,Não se aplica,Não se aplica,R$/MWh,"143,78",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A4,Convencional,Não se aplica,Não se aplica,SCEE,Não se aplica,Não se aplica,R$/MWh,"150,73",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,R$/kW,"13,85",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A4,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,R$/kW,"13,86",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Verde,Não se aplica,Não se aplica,APE,Não se aplica,Fora ponta,R$/MWh,"92,65",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A4,Verde,Não se aplica,Não se aplica,APE,Não se aplica,Fora ponta,R$/MWh,"94,86",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A4,Verde,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Fora ponta,R$/MWh,"150,73","321,23"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Verde,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Fora ponta,R$/MWh,"143,78","369,8"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A4,Verde,Não se aplica,Não se aplica,SCEE,Não se aplica,Fora ponta,R$/MWh,"150,73","46,26"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Verde,Não se aplica,Não se aplica,SCEE,Não se aplica,Fora ponta,R$/MWh,"143,78","95,19"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A4,Verde,Não se aplica,Não se aplica,APE,Não se aplica,Não se aplica,R$/kW,"22,76",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Verde,Não se aplica,Não se aplica,APE,Não se aplica,Não se aplica,R$/kW,"24,15",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A4,Verde,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,R$/kW,"22,76",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Verde,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,R$/kW,"24,15",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A4,Verde,Não se aplica,Não se aplica,APE,Não se aplica,Ponta,R$/MWh,"1120,04",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Verde,Não se aplica,Não se aplica,APE,Não se aplica,Ponta,R$/MWh,"1174,8",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A4,Verde,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Ponta,R$/MWh,"1175,9","519,22"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Verde,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Ponta,R$/MWh,"1225,93","567,52"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A4,Verde,Não se aplica,Não se aplica,SCEE,Não se aplica,Ponta,R$/MWh,"1175,9","46,26"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Verde,Não se aplica,Não se aplica,SCEE,Não se aplica,Ponta,R$/MWh,"1225,93","95,19"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B,Geração,Não se aplica,Não se aplica,TIPO 01,Não se aplica,Não se aplica,R$/kW,"2,92",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B,Geração,Não se aplica,Não se aplica,TIPO 01,Não se aplica,Não se aplica,R$/kW,"2,92",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B,Geração,Não se aplica,Não se aplica,TIPO 02,Não se aplica,Não se aplica,R$/kW,"13,42",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B,Geração,Não se aplica,Não se aplica,TIPO 02,Não se aplica,Não se aplica,R$/kW,"13,43",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B1,Branca,Residencial,Residencial,Não se aplica,Não se aplica,Fora ponta,R$/MWh,"374,52","322,05"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B1,Branca,Residencial,Residencial,Não se aplica,Não se aplica,Fora ponta,R$/MWh,"373,1","370,62"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,B1,Branca,Residencial,Residencial,SCEE,Não se aplica,Fora ponta,R$/MWh,"374,52","47,08"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,B1,Branca,Residencial,Residencial,SCEE,Não se aplica,Fora ponta,R$/MWh,"373,1","96,01"
